Observation ID,Name,Data Type,"
Latitude",Longitude,Open/Closed,Number of People,Price Range (CHF),Link to Picture,Town
G3_L46,ViviShop,Retail & Clothing,"46° 31' 19.722"" N","6° 38' 10.009"" E",N/A,N/A,30-500,https://drive.google.com/file/d/1VZBuFWfifUumsWA22s55P6vTmj6SZqad/view?usp=sharing,Lausanne
G3_L47,Creation Naphta Line,Retail & Clothing,"46° 31' 20.232"" N","6° 38' 10.282"" E",N/A,N/A,10-200,https://drive.google.com/file/d/196L6IL7gaCUNjy3GrIfuOpVwk5I9ctiF/view?usp=sharing,Lausanne
G3_L48,Cafe de l’eveche,Restaurant,"46° 31' 19.000"" N","6° 38' 9.730"" E",N/A,N/A,4-50,https://drive.google.com/file/d/1qBZC5Kx4_AdZcaOzpt9JiuKA5xHLlBbw/view?usp=sharing,Lausanne
G3_L49,Bagha,Restaurant,"46° 31' 18.127"" N","6° 38' 9.973"" E",N/A,N/A,5-30,https://drive.google.com/file/d/1tcKIQUnTMUJf_rkg2QI4896dGvrdJrIO/view?usp=sharing,Lausanne
G3_L50,Tabac Bessières,Business Services,"46° 31' 17.999"" N","6° 38' 9.739"" E",N/A,N/A,2-50,https://drive.google.com/file/d/1VFrrlareGMcEleJ0N0SuW3omzhnEFW8q/view?usp=sharing,Lausanne
G3_L51,Montres Anciennes,Retail & Clothing,"46° 31' 17.999"" N","6° 38' 9.739"" E",N/A,N/A,40-400,https://drive.google.com/file/d/1HAlKTHaU4-40B-2kb9sbZppyJvMnDhdo/view?usp=sharing,Lausanne
G3_L52,Bijoux Marin arqent,Retail & Clothing,"46° 31' 17.999"" N","6° 38' 9.739"" E",N/A,N/A,50-1000,https://drive.google.com/file/d/1HlrLoiw0sNl4Z2my8t64BswWQcCl90kk/view?usp=sharing,Lausanne
G3_L53,Chez Maud,Restaurant,"46° 31' 17.771"" N","6° 38' 10.878"" E",N/A,N/A,5-50,https://drive.google.com/file/d/1bT4JUOkoCQD_3lDVKBl0c1xV1aS0Zk9T/view?usp=sharing,Lausanne
G3_L54,Raw Unique Iconic,Retail & Clothing,"46° 31' 17.532"" N","6° 38' 4.215"" E",N/A,N/A,30-150,https://drive.google.com/file/d/1QgS97qsjpajdJ78Z-h7xtB-zk7Bbi-O1/view?usp=sharing,Lausanne
G3_L55,Viceversa,Retail & Clothing,"46° 31' 18.623"" N","6° 38' 2.462"" E",N/A,N/A,100-500,https://drive.google.com/file/d/1QgS97qsjpajdJ78Z-h7xtB-zk7Bbi-O1/view?usp=sharing,Lausanne
G3_L56,Creperie La Chandeleur,Restaurant,"46° 31' 17.992"" N","6° 38' 5.339"" E",N/A,N/A,5-50,https://drive.google.com/file/d/1RxfWZhhHp_sHg20N3MD7hYz5LugiEWWg/view?usp=sharing,Lausanne
G3_L57,APEF (association pour l’entraide familiale),Business Services,"46° 31' 18.114"" N","6° 38' 4.276"" E",N/A,N/A,N/A,https://drive.google.com/file/d/18ABAXKbVZ_bM_-zcA8RF9PNF_QBoZz49/view?usp=sharing,Lausanne
G3_L58,Marelle,Retail & Clothing,"46° 31' 18.557"" N","6° 38' 3.517"" E",N/A,N/A,10-500,https://drive.google.com/file/d/1O0BDHrAXSf05yfWwKC3wRaSztWn7Gmfr/view?usp=sharing,Lausanne
G3_L59,Laboratori (60),Retail & Clothing,"46° 31' 17.897"" N","6° 38' 2.314"" E",N/A,N/A,20-200,https://drive.google.com/file/d/1F5p9myeqlMUzrnrcveauvuc74mhjpgki/view?usp=sharing,Lausanne
G3_L60,Atelier Des Gourmands,Restaurant,"46° 31' 17.927"" N","6° 38' 3.147"" E",N/A,N/A,5-100,https://drive.google.com/file/d/1-LXwi3ET0elqD6YFba38SoUq1Nuagdeb/view?usp=sharing,Lausanne
G3_L61,Durig Chocolatier,Restaurant,"46° 31' 18.696"" N","6° 38' 2.782"" E",N/A,N/A,2-200,https://drive.google.com/file/d/1tFdC0vl9HIYGPgknUVaVWMTEa-WVTDCQ/view?usp=sharing,Lausanne
G3_L62,Globus,Retail & Clothing,"46° 31' 18.227"" N","6° 38' 2.405"" E",N/A,N/A,10-200,https://drive.google.com/file/d/1olTiIXa5oULOU114n3_PzjDKdJ8olQFW/view?usp=sharing,Lausanne
G3_L63,Walpurgis,Retail & Clothing,"46° 31' 18.704"" N","6° 38' 2.318"" E",N/A,N/A,20-200,https://drive.google.com/file/d/1olTiIXa5oULOU114n3_PzjDKdJ8olQFW/view?usp=sharing,Lausanne
G3_L64,Collection 66,Retail & Clothing,"46° 31' 18.872"" N","6° 38' 2.253"" E",N/A,N/A,20-200,https://drive.google.com/file/d/14qHoia3XI-oar86tOaOPADyMu1VSdJUW/view?usp=sharing,Lausanne
G3_L65,D’Luxe,Retail & Clothing,"46° 31' 18.890"" N","6° 38' 2.222"" E",N/A,N/A,20-200,https://docs.google.com/spreadsheets/d/1b9DfB862_zUhfKlTt7ZDIZJj81s4pbzpJ3Dw35hL0rA/edit?usp=sharing,Lausanne
G3_L66,Jérôme Coiffure,Personal Care and Health,"46° 31' 18.895"" N","6° 38' 1.569"" E",N/A,N/A,10-100,https://drive.google.com/file/d/1vGzNu6SyG0o1Vi3NEDh47KvwRK-aW6de/view?usp=sharing,Lausanne
